,userId,count_of,challenges_cat,tagged
588,9b1b6cf931a24f9591ba2088a5968bb4,"[671.0, 235.0, 235.0, 235.0, 235.0, 235.0, 235.0, 235.0]","['Love', 'BeautyFashion', 'Culture', 'Empowerment', 'Exercise', 'HealthWellness', 'HealthyEating', 'Motherhood']","[{'Love': 671.0}, {'BeautyFashion': 235.0}, {'Culture': 235.0}, {'Empowerment': 235.0}, {'Exercise': 235.0}, {'HealthWellness': 235.0}, {'HealthyEating': 235.0}, {'Motherhood': 235.0}]"
589,9b293453f3e94bee98e7b8c8e9bf5c23,"[209.0, 85.0, 80.0, 74.0, 67.0, 65.0, 51.0, 45.0, 45.0, 31.0]","['Marriage', 'Education', 'Relationship', 'Inlaws', 'MentalHealth', 'Motherhood', 'Love', 'Covid', 'Vacation', 'HealthWellness']","[{'Marriage': 209.0}, {'Education': 85.0}, {'Relationship': 80.0}, {'Inlaws': 74.0}, {'MentalHealth': 67.0}, {'Motherhood': 65.0}, {'Love': 51.0}, {'Covid': 45.0}, {'Vacation': 45.0}, {'HealthWellness': 31.0}]"
590,9b5445c3f2c6415180fd32bb39cac9fb,"[34938.0, 13216.0, 10394.0, 9350.0, 8163.0, 6667.0, 6495.0, 5238.0, 5002.0, 4486.0]","['Love', 'Emotions', 'Motherhood', 'MentalHealth', 'Strength', 'Marriage', 'Education', 'FamilyRelationships', 'Happiness', 'Parenting']","[{'Love': 34938.0}, {'Emotions': 13216.0}, {'Motherhood': 10394.0}, {'MentalHealth': 9350.0}, {'Strength': 8163.0}, {'Marriage': 6667.0}, {'Education': 6495.0}, {'FamilyRelationships': 5238.0}, {'Happiness': 5002.0}, {'Parenting': 4486.0}]"
591,9b726577d4c149d9993032337269c868,[265.0],['Communication'],[{'Communication': 265.0}]
592,9bfb8a29c8294d9fa7cc534c1fdf58d7,"[13.0, 13.0, 9.0, 9.0, 4.0]","['Gratitude', 'Happiness', 'Love', 'SelfCare', 'Education']","[{'Gratitude': 13.0}, {'Happiness': 13.0}, {'Love': 9.0}, {'SelfCare': 9.0}, {'Education': 4.0}]"
593,9c4562cbc0a94f2097013810f18a7d66,"[30.0, 19.0, 19.0, 11.0, 11.0]","['Love', 'Parenting', 'Strength', 'Nostalgia', 'Vacation']","[{'Love': 30.0}, {'Parenting': 19.0}, {'Strength': 19.0}, {'Nostalgia': 11.0}, {'Vacation': 11.0}]"
594,9c750d1495254e478a8527e704b26044,"[9573.0, 5684.0, 2876.0, 2718.0, 2203.0, 1779.0, 1681.0, 1438.0, 1100.0, 1025.0]","['Love', 'Emotions', 'Education', 'SelfCare', 'Empowerment', 'Guilt', 'Marriage', 'Society', 'GenderDynamics', 'BeautyFashion']","[{'Love': 9573.0}, {'Emotions': 5684.0}, {'Education': 2876.0}, {'SelfCare': 2718.0}, {'Empowerment': 2203.0}, {'Guilt': 1779.0}, {'Marriage': 1681.0}, {'Society': 1438.0}, {'GenderDynamics': 1100.0}, {'BeautyFashion': 1025.0}]"
595,9cb6665e06344ae0b33833c1b72d532b,"[232.0, 197.0, 100.0, 79.0, 35.0, 25.0]","['Parenting', 'Motherhood', 'Love', 'Education', 'Strength', 'Relationship']","[{'Parenting': 232.0}, {'Motherhood': 197.0}, {'Love': 100.0}, {'Education': 79.0}, {'Strength': 35.0}, {'Relationship': 25.0}]"
596,9ce0590c0b5241ce8ab8866b1c4dedad,"[1365.0, 940.0, 664.0, 632.0, 288.0, 281.0, 277.0, 248.0, 187.0, 175.0]","['Education', 'Marriage', 'Schooling', 'Love', 'BeautyFashion', 'Emotions', 'MentalHealth', 'Strength', 'HealthWellness', 'SelfCare']","[{'Education': 1365.0}, {'Marriage': 940.0}, {'Schooling': 664.0}, {'Love': 632.0}, {'BeautyFashion': 288.0}, {'Emotions': 281.0}, {'MentalHealth': 277.0}, {'Strength': 248.0}, {'HealthWellness': 187.0}, {'SelfCare': 175.0}]"
597,9cf55170e0264bb9b674d0ff14368413,"[52.0, 31.0, 28.0, 28.0, 23.0, 23.0, 23.0, 17.0, 17.0, 13.0]","['Love', 'Motherhood', 'Emotions', 'Happiness', 'Cooking', 'Exercise', 'Marriage', 'BeautyFashion', 'HealthyEating', 'FamilyRelationships']","[{'Love': 52.0}, {'Motherhood': 31.0}, {'Emotions': 28.0}, {'Happiness': 28.0}, {'Cooking': 23.0}, {'Exercise': 23.0}, {'Marriage': 23.0}, {'BeautyFashion': 17.0}, {'HealthyEating': 17.0}, {'FamilyRelationships': 13.0}]"
598,9cf96d2ae0f64652badcebe96ee06e68,"[119.0, 119.0, 119.0]","['Cooking', 'Covid', 'Education']","[{'Cooking': 119.0}, {'Covid': 119.0}, {'Education': 119.0}]"
599,9cfb86642b404728ac7cecfcdd5cd202,"[28.0, 28.0, 28.0]","['Education', 'HealthWellness', 'Love']","[{'Education': 28.0}, {'HealthWellness': 28.0}, {'Love': 28.0}]"
600,9d7bb9442f3f4896b79c5bc1497dc9dc,[39.0],['Love'],[{'Love': 39.0}]
